epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.8209,2.23997,3.21125,1.31933,0.01952,0.41057,0.01447,0.00602,1.98364,3.31988,1.20123,0.00038341,0.00038341,0.00038341
2,42.3029,1.98904,1.60575,1.14821,0.02859,0.53117,0.14986,0.06054,2.01018,3.02879,1.18036,0.000775733,0.000775733,0.000775733
3,62.2585,1.95307,1.45004,1.12716,0.87316,0.22388,0.48078,0.18569,2.05936,2.51355,1.20481,0.00116014,0.00116014,0.00116014
4,81.8964,1.95103,1.34824,1.1333,0.67909,0.33875,0.43506,0.17025,2.11375,2.01058,1.23924,0.00153662,0.00153662,0.00153662
5,102.891,1.92886,1.25717,1.12468,0.12232,0.17072,0.07669,0.03451,2.18993,4.13067,1.29367,0.00160099,0.00160099,0.00160099
6,123.22,1.90922,1.18022,1.13053,0.55925,0.51579,0.47335,0.18789,2.04754,1.40534,1.22854,0.00158448,0.00158448,0.00158448
7,143.516,1.91953,1.13474,1.12792,0.61155,0.57317,0.521,0.20665,2.07655,1.72644,1.2547,0.00156798,0.00156798,0.00156798
8,163.992,1.88107,1.09406,1.11512,0.60003,0.54885,0.5432,0.21415,2.09582,1.48799,1.26997,0.00155148,0.00155148,0.00155148
9,185.098,1.88184,1.06095,1.11935,0.67648,0.60163,0.62148,0.24584,2.02805,1.31685,1.24718,0.00153497,0.00153497,0.00153497
10,205.27,1.83231,1.01817,1.10182,0.69286,0.62873,0.65382,0.25955,2.03602,1.24467,1.23482,0.00151847,0.00151847,0.00151847
11,225.98,1.84142,1.01984,1.10217,0.69233,0.63821,0.64475,0.27168,1.97622,1.12048,1.22047,0.00150197,0.00150197,0.00150197
12,246.507,1.83547,1.01079,1.10162,0.67375,0.64092,0.63574,0.24526,1.98686,1.08295,1.20065,0.00148546,0.00148546,0.00148546
13,267.435,1.82503,0.9831,1.08802,0.71353,0.63144,0.68032,0.28917,1.95611,1.06652,1.19907,0.00146896,0.00146896,0.00146896
14,288.161,1.80879,0.97404,1.08911,0.67746,0.66396,0.66503,0.26975,2.02494,1.21951,1.22629,0.00145246,0.00145246,0.00145246
15,308.427,1.78116,0.96791,1.07872,0.71312,0.56504,0.61697,0.26151,2.02914,1.19674,1.23116,0.00143595,0.00143595,0.00143595
16,328.484,1.79244,0.9624,1.07754,0.57181,0.48374,0.50446,0.22059,1.96202,2.26276,1.20442,0.00141945,0.00141945,0.00141945
17,349.746,1.75661,0.94027,1.07319,0.71933,0.61924,0.65591,0.25134,2.07058,1.14534,1.22946,0.00140295,0.00140295,0.00140295
18,369.681,1.76456,0.93518,1.0744,0.76368,0.64363,0.69186,0.29441,1.91514,1.00396,1.17678,0.00138644,0.00138644,0.00138644
